method,alpha,coverage,dgp,statistic,n,B,repetitions
percentile,0.025,0.1184,DGPNorm_0_1,mean,8,10,10000
basic,0.025,0.1187,DGPNorm_0_1,mean,8,10,10000
bca,0.025,0.1382,DGPNorm_0_1,mean,8,10,10000
bc,0.025,0.1367,DGPNorm_0_1,mean,8,10,10000
standard,0.025,0.076,DGPNorm_0_1,mean,8,10,10000
smoothed,0.025,0.1175,DGPNorm_0_1,mean,8,10,10000
double,0.025,0.141,DGPNorm_0_1,mean,8,10,10000
studentized,0.025,0.0905,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.025,0.0284,DGPNorm_0_1,mean,8,10,10000
ttest,0.025,0.0313,DGPNorm_0_1,mean,8,10,10000
percentile,0.05,0.1184,DGPNorm_0_1,mean,8,10,10000
basic,0.05,0.1187,DGPNorm_0_1,mean,8,10,10000
bca,0.05,0.154,DGPNorm_0_1,mean,8,10,10000
bc,0.05,0.154,DGPNorm_0_1,mean,8,10,10000
standard,0.05,0.1099,DGPNorm_0_1,mean,8,10,10000
smoothed,0.05,0.1175,DGPNorm_0_1,mean,8,10,10000
double,0.05,0.141,DGPNorm_0_1,mean,8,10,10000
studentized,0.05,0.0905,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.05,0.0528,DGPNorm_0_1,mean,8,10,10000
ttest,0.05,0.0595,DGPNorm_0_1,mean,8,10,10000
percentile,0.25,0.2806,DGPNorm_0_1,mean,8,10,10000
basic,0.25,0.281,DGPNorm_0_1,mean,8,10,10000
bca,0.25,0.2899,DGPNorm_0_1,mean,8,10,10000
bc,0.25,0.2906,DGPNorm_0_1,mean,8,10,10000
standard,0.25,0.2898,DGPNorm_0_1,mean,8,10,10000
smoothed,0.25,0.2801,DGPNorm_0_1,mean,8,10,10000
double,0.25,0.2602,DGPNorm_0_1,mean,8,10,10000
studentized,0.25,0.2543,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.25,0.2779,DGPNorm_0_1,mean,8,10,10000
ttest,0.25,0.262,DGPNorm_0_1,mean,8,10,10000
percentile,0.75,0.7164,DGPNorm_0_1,mean,8,10,10000
basic,0.75,0.7214,DGPNorm_0_1,mean,8,10,10000
bca,0.75,0.7093,DGPNorm_0_1,mean,8,10,10000
bc,0.75,0.7101,DGPNorm_0_1,mean,8,10,10000
standard,0.75,0.7112,DGPNorm_0_1,mean,8,10,10000
smoothed,0.75,0.7173,DGPNorm_0_1,mean,8,10,10000
double,0.75,0.7419,DGPNorm_0_1,mean,8,10,10000
studentized,0.75,0.7479,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.75,0.7722,DGPNorm_0_1,mean,8,10,10000
ttest,0.75,0.7384,DGPNorm_0_1,mean,8,10,10000
percentile,0.95,0.8807,DGPNorm_0_1,mean,8,10,10000
basic,0.95,0.8821,DGPNorm_0_1,mean,8,10,10000
bca,0.95,0.8439,DGPNorm_0_1,mean,8,10,10000
bc,0.95,0.8437,DGPNorm_0_1,mean,8,10,10000
standard,0.95,0.8901,DGPNorm_0_1,mean,8,10,10000
smoothed,0.95,0.88,DGPNorm_0_1,mean,8,10,10000
double,0.95,0.8612,DGPNorm_0_1,mean,8,10,10000
studentized,0.95,0.904,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.95,0.9608,DGPNorm_0_1,mean,8,10,10000
ttest,0.95,0.9406,DGPNorm_0_1,mean,8,10,10000
percentile,0.975,0.8807,DGPNorm_0_1,mean,8,10,10000
basic,0.975,0.8821,DGPNorm_0_1,mean,8,10,10000
bca,0.975,0.8579,DGPNorm_0_1,mean,8,10,10000
bc,0.975,0.8579,DGPNorm_0_1,mean,8,10,10000
standard,0.975,0.9213,DGPNorm_0_1,mean,8,10,10000
smoothed,0.975,0.88,DGPNorm_0_1,mean,8,10,10000
double,0.975,0.8612,DGPNorm_0_1,mean,8,10,10000
studentized,0.975,0.904,DGPNorm_0_1,mean,8,10,10000
wilcoxon,0.975,0.9815,DGPNorm_0_1,mean,8,10,10000
ttest,0.975,0.9689,DGPNorm_0_1,mean,8,10,10000
percentile,0.025,0.1614,DGPNorm_0_1,mean,4,10,10000
basic,0.025,0.1607,DGPNorm_0_1,mean,4,10,10000
bca,0.025,0.1714,DGPNorm_0_1,mean,4,10,10000
bc,0.025,0.171,DGPNorm_0_1,mean,4,10,10000
standard,0.025,0.1181,DGPNorm_0_1,mean,4,10,10000
smoothed,0.025,0.1515,DGPNorm_0_1,mean,4,10,10000
double,0.025,0.1728,DGPNorm_0_1,mean,4,10,10000
studentized,0.025,0.0954,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.025,0.0642,DGPNorm_0_1,mean,4,10,10000
ttest,0.025,0.0369,DGPNorm_0_1,mean,4,10,10000
percentile,0.05,0.1614,DGPNorm_0_1,mean,4,10,10000
basic,0.05,0.1607,DGPNorm_0_1,mean,4,10,10000
bca,0.05,0.1839,DGPNorm_0_1,mean,4,10,10000
bc,0.05,0.1836,DGPNorm_0_1,mean,4,10,10000
standard,0.05,0.1476,DGPNorm_0_1,mean,4,10,10000
smoothed,0.05,0.1515,DGPNorm_0_1,mean,4,10,10000
double,0.05,0.1728,DGPNorm_0_1,mean,4,10,10000
studentized,0.05,0.0954,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.05,0.0642,DGPNorm_0_1,mean,4,10,10000
ttest,0.05,0.0694,DGPNorm_0_1,mean,4,10,10000
percentile,0.25,0.3075,DGPNorm_0_1,mean,4,10,10000
basic,0.25,0.3088,DGPNorm_0_1,mean,4,10,10000
bca,0.25,0.2861,DGPNorm_0_1,mean,4,10,10000
bc,0.25,0.2864,DGPNorm_0_1,mean,4,10,10000
standard,0.25,0.3138,DGPNorm_0_1,mean,4,10,10000
smoothed,0.25,0.2999,DGPNorm_0_1,mean,4,10,10000
double,0.25,0.2704,DGPNorm_0_1,mean,4,10,10000
studentized,0.25,0.2646,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.25,0.3101,DGPNorm_0_1,mean,4,10,10000
ttest,0.25,0.2771,DGPNorm_0_1,mean,4,10,10000
percentile,0.75,0.7009,DGPNorm_0_1,mean,4,10,10000
basic,0.75,0.6997,DGPNorm_0_1,mean,4,10,10000
bca,0.75,0.6539,DGPNorm_0_1,mean,4,10,10000
bc,0.75,0.6529,DGPNorm_0_1,mean,4,10,10000
standard,0.75,0.6944,DGPNorm_0_1,mean,4,10,10000
smoothed,0.75,0.7059,DGPNorm_0_1,mean,4,10,10000
double,0.75,0.7249,DGPNorm_0_1,mean,4,10,10000
studentized,0.75,0.7415,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.75,0.8189,DGPNorm_0_1,mean,4,10,10000
ttest,0.75,0.7338,DGPNorm_0_1,mean,4,10,10000
percentile,0.95,0.8418,DGPNorm_0_1,mean,4,10,10000
basic,0.95,0.8451,DGPNorm_0_1,mean,4,10,10000
bca,0.95,0.7936,DGPNorm_0_1,mean,4,10,10000
bc,0.95,0.7949,DGPNorm_0_1,mean,4,10,10000
standard,0.95,0.8582,DGPNorm_0_1,mean,4,10,10000
smoothed,0.95,0.8535,DGPNorm_0_1,mean,4,10,10000
double,0.95,0.8273,DGPNorm_0_1,mean,4,10,10000
studentized,0.95,0.9094,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.95,0.9401,DGPNorm_0_1,mean,4,10,10000
ttest,0.95,0.9352,DGPNorm_0_1,mean,4,10,10000
percentile,0.975,0.8418,DGPNorm_0_1,mean,4,10,10000
basic,0.975,0.8451,DGPNorm_0_1,mean,4,10,10000
bca,0.975,0.8133,DGPNorm_0_1,mean,4,10,10000
bc,0.975,0.8145,DGPNorm_0_1,mean,4,10,10000
standard,0.975,0.8868,DGPNorm_0_1,mean,4,10,10000
smoothed,0.975,0.8535,DGPNorm_0_1,mean,4,10,10000
double,0.975,0.8273,DGPNorm_0_1,mean,4,10,10000
studentized,0.975,0.9094,DGPNorm_0_1,mean,4,10,10000
wilcoxon,0.975,0.9401,DGPNorm_0_1,mean,4,10,10000
ttest,0.975,0.9659,DGPNorm_0_1,mean,4,10,10000
percentile,0.025,0.1069,DGPNorm_0_1,mean,16,10,10000
basic,0.025,0.1002,DGPNorm_0_1,mean,16,10,10000
bca,0.025,0.1271,DGPNorm_0_1,mean,16,10,10000
bc,0.025,0.1271,DGPNorm_0_1,mean,16,10,10000
standard,0.025,0.0584,DGPNorm_0_1,mean,16,10,10000
smoothed,0.025,0.1045,DGPNorm_0_1,mean,16,10,10000
double,0.025,0.1312,DGPNorm_0_1,mean,16,10,10000
studentized,0.025,0.0976,DGPNorm_0_1,mean,16,10,10000
wilcoxon,0.025,0.0238,DGPNorm_0_1,mean,16,10,10000
ttest,0.025,0.0271,DGPNorm_0_1,mean,16,10,10000
percentile,0.05,0.1069,DGPNorm_0_1,mean,16,10,10000
basic,0.05,0.1002,DGPNorm_0_1,mean,16,10,10000
bca,0.05,0.1432,DGPNorm_0_1,mean,16,10,10000
bc,0.05,0.1427,DGPNorm_0_1,mean,16,10,10000
standard,0.05,0.0923,DGPNorm_0_1,mean,16,10,10000
smoothed,0.05,0.1045,DGPNorm_0_1,mean,16,10,10000
double,0.05,0.1312,DGPNorm_0_1,mean,16,10,10000
studentized,0.05,0.0976,DGPNorm_0_1,mean,16,10,10000
wilcoxon,0.05,0.0508,DGPNorm_0_1,mean,16,10,10000
ttest,0.05,0.0533,DGPNorm_0_1,mean,16,10,10000
percentile,0.25,0.2733,DGPNorm_0_1,mean,16,10,10000
basic,0.25,0.2697,DGPNorm_0_1,mean,16,10,10000
bca,0.25,0.2795,DGPNorm_0_1,mean,16,10,10000
bc,0.25,0.2803,DGPNorm_0_1,mean,16,10,10000
standard,0.25,0.2766,DGPNorm_0_1,mean,16,10,10000
smoothed,0.25,0.274,DGPNorm_0_1,mean,16,10,10000
double,0.25,0.2577,DGPNorm_0_1,mean,16,10,10000
studentized,0.25,0.258,DGPNorm_0_1,mean,16,10,10000
wilcoxon,0.25,0.2582,DGPNorm_0_1,mean,16,10,10000
ttest,0.25,0.2511,DGPNorm_0_1,mean,16,10,10000
percentile,0.75,0.7227,DGPNorm_0_1,mean,16,10,10000
basic,0.75,0.7194,DGPNorm_0_1,mean,16,10,10000
bca,0.75,0.7077,DGPNorm_0_1,mean,16,10,10000
bc,0.75,0.7078,DGPNorm_0_1,mean,16,10,10000
standard,0.75,0.7174,DGPNorm_0_1,mean,16,10,10000
smoothed,0.75,0.7233,DGPNorm_0_1,mean,16,10,10000
double,0.75,0.7383,DGPNorm_0_1,mean,16,10,10000
studentized,0.75,0.735,DGPNorm_0_1,mean,16,10,10000
wilcoxon,0.75,0.7495,DGPNorm_0_1,mean,16,10,10000
ttest,0.75,0.7389,DGPNorm_0_1,mean,16,10,10000
percentile,0.95,0.8949,DGPNorm_0_1,mean,16,10,10000
basic,0.95,0.8927,DGPNorm_0_1,mean,16,10,10000
bca,0.95,0.8525,DGPNorm_0_1,mean,16,10,10000
bc,0.95,0.8537,DGPNorm_0_1,mean,16,10,10000
standard,0.95,0.9057,DGPNorm_0_1,mean,16,10,10000
smoothed,0.95,0.8956,DGPNorm_0_1,mean,16,10,10000
double,0.95,0.8686,DGPNorm_0_1,mean,16,10,10000
studentized,0.95,0.9032,DGPNorm_0_1,mean,16,10,10000
wilcoxon,0.95,0.9516,DGPNorm_0_1,mean,16,10,10000
ttest,0.95,0.9419,DGPNorm_0_1,mean,16,10,10000
percentile,0.975,0.8949,DGPNorm_0_1,mean,16,10,10000
basic,0.975,0.8927,DGPNorm_0_1,mean,16,10,10000
bca,0.975,0.8723,DGPNorm_0_1,mean,16,10,10000
bc,0.975,0.873,DGPNorm_0_1,mean,16,10,10000
standard,0.975,0.9379,DGPNorm_0_1,mean,16,10,10000
smoothed,0.975,0.8956,DGPNorm_0_1,mean,16,10,10000
double,0.975,0.8686,DGPNorm_0_1,mean,16,10,10000
studentized,0.975,0.9032,DGPNorm_0_1,mean,16,10,10000
wilcoxon,0.975,0.9771,DGPNorm_0_1,mean,16,10,10000
ttest,0.975,0.971,DGPNorm_0_1,mean,16,10,10000
percentile,0.025,0.0974,DGPNorm_0_1,mean,32,10,10000
basic,0.025,0.0983,DGPNorm_0_1,mean,32,10,10000
bca,0.025,0.1183,DGPNorm_0_1,mean,32,10,10000
bc,0.025,0.1183,DGPNorm_0_1,mean,32,10,10000
standard,0.025,0.0548,DGPNorm_0_1,mean,32,10,10000
smoothed,0.025,0.0979,DGPNorm_0_1,mean,32,10,10000
double,0.025,0.1234,DGPNorm_0_1,mean,32,10,10000
studentized,0.025,0.0968,DGPNorm_0_1,mean,32,10,10000
wilcoxon,0.025,0.0258,DGPNorm_0_1,mean,32,10,10000
ttest,0.025,0.0258,DGPNorm_0_1,mean,32,10,10000
percentile,0.05,0.0974,DGPNorm_0_1,mean,32,10,10000
basic,0.05,0.0983,DGPNorm_0_1,mean,32,10,10000
bca,0.05,0.1362,DGPNorm_0_1,mean,32,10,10000
bc,0.05,0.1359,DGPNorm_0_1,mean,32,10,10000
standard,0.05,0.0855,DGPNorm_0_1,mean,32,10,10000
smoothed,0.05,0.0979,DGPNorm_0_1,mean,32,10,10000
double,0.05,0.1234,DGPNorm_0_1,mean,32,10,10000
studentized,0.05,0.0968,DGPNorm_0_1,mean,32,10,10000
wilcoxon,0.05,0.0507,DGPNorm_0_1,mean,32,10,10000
ttest,0.05,0.0525,DGPNorm_0_1,mean,32,10,10000
percentile,0.25,0.2702,DGPNorm_0_1,mean,32,10,10000
basic,0.25,0.2697,DGPNorm_0_1,mean,32,10,10000
bca,0.25,0.2767,DGPNorm_0_1,mean,32,10,10000
bc,0.25,0.2766,DGPNorm_0_1,mean,32,10,10000
standard,0.25,0.273,DGPNorm_0_1,mean,32,10,10000
smoothed,0.25,0.2705,DGPNorm_0_1,mean,32,10,10000
double,0.25,0.2574,DGPNorm_0_1,mean,32,10,10000
studentized,0.25,0.2596,DGPNorm_0_1,mean,32,10,10000
wilcoxon,0.25,0.2505,DGPNorm_0_1,mean,32,10,10000
ttest,0.25,0.2536,DGPNorm_0_1,mean,32,10,10000
percentile,0.75,0.7331,DGPNorm_0_1,mean,32,10,10000
basic,0.75,0.7427,DGPNorm_0_1,mean,32,10,10000
bca,0.75,0.7243,DGPNorm_0_1,mean,32,10,10000
bc,0.75,0.7241,DGPNorm_0_1,mean,32,10,10000
standard,0.75,0.7298,DGPNorm_0_1,mean,32,10,10000
smoothed,0.75,0.7316,DGPNorm_0_1,mean,32,10,10000
double,0.75,0.7441,DGPNorm_0_1,mean,32,10,10000
studentized,0.75,0.7472,DGPNorm_0_1,mean,32,10,10000
wilcoxon,0.75,0.7572,DGPNorm_0_1,mean,32,10,10000
ttest,0.75,0.7523,DGPNorm_0_1,mean,32,10,10000
percentile,0.95,0.9004,DGPNorm_0_1,mean,32,10,10000
basic,0.95,0.8998,DGPNorm_0_1,mean,32,10,10000
bca,0.95,0.8643,DGPNorm_0_1,mean,32,10,10000
bc,0.95,0.8643,DGPNorm_0_1,mean,32,10,10000
standard,0.95,0.9147,DGPNorm_0_1,mean,32,10,10000
smoothed,0.95,0.9013,DGPNorm_0_1,mean,32,10,10000
double,0.95,0.8757,DGPNorm_0_1,mean,32,10,10000
studentized,0.95,0.9022,DGPNorm_0_1,mean,32,10,10000
wilcoxon,0.95,0.9486,DGPNorm_0_1,mean,32,10,10000
ttest,0.95,0.9463,DGPNorm_0_1,mean,32,10,10000
percentile,0.975,0.9004,DGPNorm_0_1,mean,32,10,10000
basic,0.975,0.8998,DGPNorm_0_1,mean,32,10,10000
bca,0.975,0.8789,DGPNorm_0_1,mean,32,10,10000
bc,0.975,0.8788,DGPNorm_0_1,mean,32,10,10000
standard,0.975,0.9434,DGPNorm_0_1,mean,32,10,10000
smoothed,0.975,0.9013,DGPNorm_0_1,mean,32,10,10000
double,0.975,0.8757,DGPNorm_0_1,mean,32,10,10000
studentized,0.975,0.9022,DGPNorm_0_1,mean,32,10,10000
wilcoxon,0.975,0.9721,DGPNorm_0_1,mean,32,10,10000
ttest,0.975,0.9718,DGPNorm_0_1,mean,32,10,10000
percentile,0.025,0.1134,DGPNorm_0_1,median,4,10,10000
basic,0.025,0.1676,DGPNorm_0_1,median,4,10,10000
bca,0.025,0.1152,DGPNorm_0_1,median,4,10,10000
bc,0.025,0.1152,DGPNorm_0_1,median,4,10,10000
standard,0.025,0.078,DGPNorm_0_1,median,4,10,10000
smoothed,0.025,0.1113,DGPNorm_0_1,median,4,10,10000
double,0.025,0.1243,DGPNorm_0_1,median,4,10,10000
studentized,0.025,0.0964,DGPNorm_0_1,median,4,10,10000
wilcoxon,0.025,0.0585,DGPNorm_0_1,median,4,10,10000
ci_quant_param,0.025,0.0486,DGPNorm_0_1,median,4,10,10000
ci_quant_nonparam,0.025,0.0585,DGPNorm_0_1,median,4,10,10000
maritz-jarrett,0.025,0.0306,DGPNorm_0_1,median,4,10,10000
percentile,0.05,0.1134,DGPNorm_0_1,median,4,10,10000
basic,0.05,0.1676,DGPNorm_0_1,median,4,10,10000
bca,0.05,0.1198,DGPNorm_0_1,median,4,10,10000
bc,0.05,0.1198,DGPNorm_0_1,median,4,10,10000
standard,0.05,0.1066,DGPNorm_0_1,median,4,10,10000
smoothed,0.05,0.1113,DGPNorm_0_1,median,4,10,10000
double,0.05,0.1243,DGPNorm_0_1,median,4,10,10000
studentized,0.05,0.0964,DGPNorm_0_1,median,4,10,10000
wilcoxon,0.05,0.0585,DGPNorm_0_1,median,4,10,10000
ci_quant_param,0.05,0.0863,DGPNorm_0_1,median,4,10,10000
ci_quant_nonparam,0.05,0.0585,DGPNorm_0_1,median,4,10,10000
maritz-jarrett,0.05,0.0462,DGPNorm_0_1,median,4,10,10000
percentile,0.25,0.2712,DGPNorm_0_1,median,4,10,10000
basic,0.25,0.2915,DGPNorm_0_1,median,4,10,10000
bca,0.25,0.1753,DGPNorm_0_1,median,4,10,10000
bc,0.25,0.1753,DGPNorm_0_1,median,4,10,10000
standard,0.25,0.2786,DGPNorm_0_1,median,4,10,10000
smoothed,0.25,0.2795,DGPNorm_0_1,median,4,10,10000
double,0.25,0.2198,DGPNorm_0_1,median,4,10,10000
studentized,0.25,0.2622,DGPNorm_0_1,median,4,10,10000
wilcoxon,0.25,0.3105,DGPNorm_0_1,median,4,10,10000
ci_quant_param,0.25,0.2974,DGPNorm_0_1,median,4,10,10000
ci_quant_nonparam,0.25,0.3106,DGPNorm_0_1,median,4,10,10000
maritz-jarrett,0.25,0.2039,DGPNorm_0_1,median,4,10,10000
percentile,0.75,0.7259,DGPNorm_0_1,median,4,10,10000
basic,0.75,0.6915,DGPNorm_0_1,median,4,10,10000
bca,0.75,0.5553,DGPNorm_0_1,median,4,10,10000
bc,0.75,0.5553,DGPNorm_0_1,median,4,10,10000
standard,0.75,0.72,DGPNorm_0_1,median,4,10,10000
smoothed,0.75,0.7184,DGPNorm_0_1,median,4,10,10000
double,0.75,0.6988,DGPNorm_0_1,median,4,10,10000
studentized,0.75,0.7257,DGPNorm_0_1,median,4,10,10000
wilcoxon,0.75,0.8128,DGPNorm_0_1,median,4,10,10000
ci_quant_param,0.75,0.7021,DGPNorm_0_1,median,4,10,10000
ci_quant_nonparam,0.75,0.9398,DGPNorm_0_1,median,4,10,10000
maritz-jarrett,0.75,0.7691,DGPNorm_0_1,median,4,10,10000
percentile,0.95,0.8828,DGPNorm_0_1,median,4,10,10000
basic,0.95,0.8315,DGPNorm_0_1,median,4,10,10000
bca,0.95,0.777,DGPNorm_0_1,median,4,10,10000
bc,0.95,0.777,DGPNorm_0_1,median,4,10,10000
standard,0.95,0.8967,DGPNorm_0_1,median,4,10,10000
smoothed,0.95,0.8858,DGPNorm_0_1,median,4,10,10000
double,0.95,0.8511,DGPNorm_0_1,median,4,10,10000
studentized,0.95,0.9063,DGPNorm_0_1,median,4,10,10000
wilcoxon,0.95,0.9398,DGPNorm_0_1,median,4,10,10000
ci_quant_param,0.95,0.9132,DGPNorm_0_1,median,4,10,10000
ci_quant_nonparam,0.95,0.0,DGPNorm_0_1,median,4,10,10000
maritz-jarrett,0.95,0.9305,DGPNorm_0_1,median,4,10,10000
percentile,0.975,0.8828,DGPNorm_0_1,median,4,10,10000
basic,0.975,0.8315,DGPNorm_0_1,median,4,10,10000
bca,0.975,0.817,DGPNorm_0_1,median,4,10,10000
bc,0.975,0.817,DGPNorm_0_1,median,4,10,10000
standard,0.975,0.92,DGPNorm_0_1,median,4,10,10000
smoothed,0.975,0.8858,DGPNorm_0_1,median,4,10,10000
double,0.975,0.8511,DGPNorm_0_1,median,4,10,10000
studentized,0.975,0.9063,DGPNorm_0_1,median,4,10,10000
wilcoxon,0.975,0.9398,DGPNorm_0_1,median,4,10,10000
ci_quant_param,0.975,0.9502,DGPNorm_0_1,median,4,10,10000
ci_quant_nonparam,0.975,0.0,DGPNorm_0_1,median,4,10,10000
maritz-jarrett,0.975,0.9541,DGPNorm_0_1,median,4,10,10000
percentile,0.025,0.0992,DGPNorm_0_1,mean,4,100,10000
basic,0.025,0.0974,DGPNorm_0_1,mean,4,100,10000
bca,0.025,0.0917,DGPNorm_0_1,mean,4,100,10000
bc,0.025,0.093,DGPNorm_0_1,mean,4,100,10000
standard,0.025,0.0924,DGPNorm_0_1,mean,4,100,10000
smoothed,0.025,0.0889,DGPNorm_0_1,mean,4,100,10000
double,0.025,0.0798,DGPNorm_0_1,mean,4,100,10000
studentized,0.025,0.0148,DGPNorm_0_1,mean,4,100,10000
wilcoxon,0.025,0.06,DGPNorm_0_1,mean,4,100,10000
ttest,0.025,0.031,DGPNorm_0_1,mean,4,100,10000
percentile,0.05,0.1269,DGPNorm_0_1,mean,4,100,10000
basic,0.05,0.1261,DGPNorm_0_1,mean,4,100,10000
bca,0.05,0.1099,DGPNorm_0_1,mean,4,100,10000
bc,0.05,0.1115,DGPNorm_0_1,mean,4,100,10000
standard,0.05,0.124,DGPNorm_0_1,mean,4,100,10000
smoothed,0.05,0.1147,DGPNorm_0_1,mean,4,100,10000
double,0.05,0.0858,DGPNorm_0_1,mean,4,100,10000
studentized,0.05,0.0426,DGPNorm_0_1,mean,4,100,10000
wilcoxon,0.05,0.06,DGPNorm_0_1,mean,4,100,10000
ttest,0.05,0.0634,DGPNorm_0_1,mean,4,100,10000
percentile,0.25,0.2867,DGPNorm_0_1,mean,4,100,10000
basic,0.25,0.2861,DGPNorm_0_1,mean,4,100,10000
bca,0.25,0.2478,DGPNorm_0_1,mean,4,100,10000
bc,0.25,0.2482,DGPNorm_0_1,mean,4,100,10000
standard,0.25,0.3026,DGPNorm_0_1,mean,4,100,10000
smoothed,0.25,0.2832,DGPNorm_0_1,mean,4,100,10000
double,0.25,0.2304,DGPNorm_0_1,mean,4,100,10000
studentized,0.25,0.2418,DGPNorm_0_1,mean,4,100,10000
wilcoxon,0.25,0.3116,DGPNorm_0_1,mean,4,100,10000
ttest,0.25,0.2755,DGPNorm_0_1,mean,4,100,10000
percentile,0.75,0.7055,DGPNorm_0_1,mean,4,100,10000
basic,0.75,0.7066,DGPNorm_0_1,mean,4,100,10000
bca,0.75,0.6573,DGPNorm_0_1,mean,4,100,10000
bc,0.75,0.6562,DGPNorm_0_1,mean,4,100,10000
standard,0.75,0.6917,DGPNorm_0_1,mean,4,100,10000
smoothed,0.75,0.7087,DGPNorm_0_1,mean,4,100,10000
double,0.75,0.7601,DGPNorm_0_1,mean,4,100,10000
studentized,0.75,0.7563,DGPNorm_0_1,mean,4,100,10000
wilcoxon,0.75,0.8112,DGPNorm_0_1,mean,4,100,10000
ttest,0.75,0.7169,DGPNorm_0_1,mean,4,100,10000
percentile,0.95,0.8707,DGPNorm_0_1,mean,4,100,10000
basic,0.95,0.8714,DGPNorm_0_1,mean,4,100,10000
bca,0.95,0.852,DGPNorm_0_1,mean,4,100,10000
bc,0.95,0.8498,DGPNorm_0_1,mean,4,100,10000
standard,0.95,0.874,DGPNorm_0_1,mean,4,100,10000
smoothed,0.95,0.8813,DGPNorm_0_1,mean,4,100,10000
double,0.95,0.9106,DGPNorm_0_1,mean,4,100,10000
studentized,0.95,0.9554,DGPNorm_0_1,mean,4,100,10000
wilcoxon,0.95,0.9352,DGPNorm_0_1,mean,4,100,10000
ttest,0.95,0.9325,DGPNorm_0_1,mean,4,100,10000
percentile,0.975,0.8981,DGPNorm_0_1,mean,4,100,10000
basic,0.975,0.8989,DGPNorm_0_1,mean,4,100,10000
bca,0.975,0.8825,DGPNorm_0_1,mean,4,100,10000
bc,0.975,0.8819,DGPNorm_0_1,mean,4,100,10000
standard,0.975,0.9021,DGPNorm_0_1,mean,4,100,10000
smoothed,0.975,0.9065,DGPNorm_0_1,mean,4,100,10000
double,0.975,0.9176,DGPNorm_0_1,mean,4,100,10000
studentized,0.975,0.9821,DGPNorm_0_1,mean,4,100,10000
wilcoxon,0.975,0.9352,DGPNorm_0_1,mean,4,100,10000
ttest,0.975,0.9632,DGPNorm_0_1,mean,4,100,10000
percentile,0.025,0.0588,DGPNorm_0_1,mean,8,100,10000
basic,0.025,0.0574,DGPNorm_0_1,mean,8,100,10000
bca,0.025,0.0633,DGPNorm_0_1,mean,8,100,10000
bc,0.025,0.0614,DGPNorm_0_1,mean,8,100,10000
standard,0.025,0.0564,DGPNorm_0_1,mean,8,100,10000
smoothed,0.025,0.0556,DGPNorm_0_1,mean,8,100,10000
double,0.025,0.0422,DGPNorm_0_1,mean,8,100,10000
studentized,0.025,0.0287,DGPNorm_0_1,mean,8,100,10000
wilcoxon,0.025,0.0284,DGPNorm_0_1,mean,8,100,10000
ttest,0.025,0.0315,DGPNorm_0_1,mean,8,100,10000
percentile,0.05,0.0855,DGPNorm_0_1,mean,8,100,10000
basic,0.05,0.0878,DGPNorm_0_1,mean,8,100,10000
bca,0.05,0.0896,DGPNorm_0_1,mean,8,100,10000
bc,0.05,0.091,DGPNorm_0_1,mean,8,100,10000
standard,0.05,0.0875,DGPNorm_0_1,mean,8,100,10000
smoothed,0.05,0.0819,DGPNorm_0_1,mean,8,100,10000
double,0.05,0.0592,DGPNorm_0_1,mean,8,100,10000
studentized,0.05,0.0562,DGPNorm_0_1,mean,8,100,10000
wilcoxon,0.05,0.0546,DGPNorm_0_1,mean,8,100,10000
ttest,0.05,0.0607,DGPNorm_0_1,mean,8,100,10000
percentile,0.25,0.2747,DGPNorm_0_1,mean,8,100,10000
basic,0.25,0.2732,DGPNorm_0_1,mean,8,100,10000
bca,0.25,0.2709,DGPNorm_0_1,mean,8,100,10000
bc,0.25,0.2714,DGPNorm_0_1,mean,8,100,10000
standard,0.25,0.2758,DGPNorm_0_1,mean,8,100,10000
smoothed,0.25,0.2701,DGPNorm_0_1,mean,8,100,10000
double,0.25,0.2529,DGPNorm_0_1,mean,8,100,10000
studentized,0.25,0.2499,DGPNorm_0_1,mean,8,100,10000
wilcoxon,0.25,0.2748,DGPNorm_0_1,mean,8,100,10000
ttest,0.25,0.2654,DGPNorm_0_1,mean,8,100,10000
percentile,0.75,0.7259,DGPNorm_0_1,mean,8,100,10000
basic,0.75,0.7247,DGPNorm_0_1,mean,8,100,10000
bca,0.75,0.73,DGPNorm_0_1,mean,8,100,10000
bc,0.75,0.728,DGPNorm_0_1,mean,8,100,10000
standard,0.75,0.7248,DGPNorm_0_1,mean,8,100,10000
smoothed,0.75,0.7298,DGPNorm_0_1,mean,8,100,10000
double,0.75,0.7473,DGPNorm_0_1,mean,8,100,10000
studentized,0.75,0.749,DGPNorm_0_1,mean,8,100,10000
wilcoxon,0.75,0.7701,DGPNorm_0_1,mean,8,100,10000
ttest,0.75,0.7361,DGPNorm_0_1,mean,8,100,10000
percentile,0.95,0.919,DGPNorm_0_1,mean,8,100,10000
