dgp,statistic,n,B,repetitions,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.06806349754333496,,,,,,0.0005354881286621094
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.014584064483642578,,,,,,0.0009963512420654297
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.011443614959716797,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010035514831542969,,,,,,0.0009596347808837891
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009980201721191406,0.008975028991699219,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009994268417358398,,,,,,0.0009770393371582031
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009948015213012695,,,,,,0.0010273456573486328
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009978055953979492,,,,,,0.000995635986328125
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.011016368865966797,,,,,,0.0009908676147460938
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009974956512451172,,,,,,0.0009999275207519531
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.00997161865234375,,,,,,0.0009968280792236328
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009969472885131836,,,,,,0.0009903907775878906
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.00994873046875,,,,,,0.0009968280792236328
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010049581527709961,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010970354080200195,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010013580322265625,,,,,,0.0009996891021728516
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009966135025024414,,,,,,0.0009911060333251953
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0010094642639160156,0.00900578498840332,,,,,,0.0009968280792236328
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.014549493789672852,,,,,,0.001497030258178711
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008994340896606445,,,,,,0.0015194416046142578
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0005092620849609375,0.00996708869934082,,,,,,0.0009946823120117188
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0005381107330322266,0.009002208709716797,,,,,,0.0010197162628173828
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0005357265472412109,0.00897669792175293,,,,,,0.0010192394256591797
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009463310241699219,,,,,,0.0009961128234863281
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010478734970092773,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009481430053710938,,,,,,0.0009980201721191406
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009561300277709961,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009540319442749023,,,,,,0.001001596450805664
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010529041290283203,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009970664978027344,0.010932445526123047,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973526000976562,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009980201721191406,0.009001731872558594,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973526000976562,,,,,,0.0009968280792236328
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973526000976562,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009789466857910156,0.009024381637573242,,,,,,0.0009715557098388672
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009002208709716797,,,,,,0.0009963512420654297
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0010180473327636719,0.008985042572021484,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010039806365966797,,,,,,0.0009546279907226562
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009974002838134766,,,,,,0.0009963512420654297
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009970664978027344,0.009973764419555664,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.00997304916381836,,,,,,0.000997781753540039
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008975982666015625,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010000467300415039,,,,,,0.0010333061218261719
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010963201522827148,,,,,,0.0009965896606445312
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009980201721191406,0.008976221084594727,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010002374649047852,,,,,,0.0009992122650146484
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009975433349609375,0.009484052658081055,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009970664978027344,0.009486198425292969,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010483741760253906,,,,,,0.0009984970092773438
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009965896606445312,0.013104915618896484,,,,,,0.0009968280792236328
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.013396263122558594,,,,,,0.0009980201721191406
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.013999700546264648,,,,,,0.001995086669921875
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010931253433227539,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973526000976562,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008975744247436523,,,,,,0.000997781753540039
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009849071502685547,0.009985923767089844,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997304916381836,0.01196742057800293,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.016993999481201172,,,,,,0.0009851455688476562
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.00997781753540039,,,,,,0.0010221004486083984
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009513139724731445,,,,,,0.001018524169921875
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.00951528549194336,,,,,,0.0010178089141845703
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.012565851211547852,,,,,,0.000997781753540039
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.015537023544311523,,,,,,0.0005135536193847656
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0005412101745605469,0.009992599487304688,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0005521774291992188,0.009990930557250977,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009979248046875,,,,,,0.0005347728729248047
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009989738464355469,0.013001203536987305,,,,,,0.0010008811950683594
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.01495504379272461,,,,,,0.001994609832763672
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0010364055633544922,0.011929512023925781,,,,,,0.0009963512420654297
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.012487411499023438,,,,,,0.0005526542663574219
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009937047958374023,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009979486465454102,,,,,,0.0009958744049072266
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997304916381836,0.010483980178833008,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009535789489746094,,,,,,0.0009987354278564453
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009972095489501953,,,,,,0.0010039806365966797
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009977340698242188,,,,,,0.000997781753540039
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009978055953979492,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997304916381836,0.008975982666015625,,,,,,0.0009980201721191406
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009965896606445312,0.00898122787475586,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.0099945068359375,,,,,,0.0009968280792236328
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973526000976562,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009972810745239258,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009975433349609375,0.00950932502746582,,,,,,0.0005369186401367188
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009995222091674805,,,,,,0.0005486011505126953
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010534524917602539,,,,,,0.0010006427764892578
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009975433349609375,0.008975982666015625,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009965896606445312,0.010971546173095703,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973526000976562,,,,,,0.0010037422180175781
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009939908981323242,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009975433349609375,0.009973526000976562,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997781753540039,0.008975982666015625,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008975505828857422,,,,,,0.000997781753540039
