CI,dgp,statistic,n,B,repetitions,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4954441366704911,1.5770760437926254,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.8362529995571402,0.8143175987004074,,,,,,0.5786917625594339
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9805133759133273,2.24476586924498,,,,,,2.041683967235339
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4395383509676891,1.6829249467582876,,,,,,0.7405018437140027
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.7703290769714288,0.8047916016088571,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.4590468678390405,2.646978450056224,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7327751673477008,1.689626085849339,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7508252826132815,2.0616178134520147,,,,,,1.932855315414297
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.3317320276561935,3.9116293010578556,,,,,,4.140803537481307
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4725525421925074,1.6660416634340427,,,,,,1.5973396264455164
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.563076429871992,2.7933339676467597,,,,,,2.5106210017131034
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4012944669363487,1.4787358840801381,,,,,,2.4840388118808505
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.529930974780535,1.6664063714727142,,,,,,6.0768494715960735
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.8974470372794032,3.787389913358895,,,,,,2.533955674325711
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.969878197246128,2.086637610762382,,,,,,4.969257551152822
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.883153329284631,0.9244270265100333,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.0419342692911355,3.401000858859441,,,,,,8.4642011185719
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.8008217436169573,1.9133098164585616,,,,,,9.590793257646688
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7970488667879532,1.7359609248573762,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.5069371742934192,1.6494990467051491,,,,,,2.0072527081321674
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.502778400832586,2.717940988880504,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.0935477530159567,2.3442235906591136,,,,,,3.3172793015141098
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.8860870298701853,2.2266309836060802,,,,,,3.8964828868876342
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.2530142669947548,1.3858606405340324,,,,,,1.3140115606294436
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.9530456818855201,1.067027037140973,,,,,,2.26586289853457
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.1184114027861054,1.934043793975878,,,,,,1.3063295475108405
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.3862127040021885,2.2455459797268693,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.8432279335758226,0.9116257998415074,,,,,,0.9610946837262765
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.2832115637735626,2.400763742121037,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.499304523153988,2.8416517861833896,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9281641672749923,2.0239096601152022,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.9295914829724787,3.4488952010429648,,,,,,2.5635226448135846
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.233522722775254,1.4414025466465392,,,,,,1.667414972559217
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.8537155927574658,0.9079691629020255,,,,,,0.6742839116057214
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.37820198281023787,0.43893127009882077,,,,,,0.9191243339664933
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.01643510822281,2.2994600466013337,,,,,,3.27102185003584
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.9347262103157414,0.9592302002790778,,,,,,1.7984278206902693
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.8372239274465345,0.996901321150947,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.0855256971186633,1.295506862673835,,,,,,2.7276949756889017
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.0369407009276435,3.46944024149779,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.60695931336532,1.6610060455640594,,,,,,2.0662321133297117
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.590827419957013,1.8926567715194578,,,,,,1.568084958230906
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.5474092490126465,2.674053209453481,,,,,,4.238612747994878
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.3188362668242002,1.3256725123977082,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.0340646495259782,1.1992654506654084,,,,,,1.4849219901309532
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.2724029794223055,2.0955784489542086,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.122280911337814,3.713892536371098,,,,,,3.001110116006993
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.0878595150871577,3.3347526065860738,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.051525205707653,3.186832240042466,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.384958662903609,1.548885709037414,,,,,,2.3401750712226477
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4598835829493595,1.722567687161238,,,,,,0.8080776475792009
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.270994376058342,2.2919843066147045,,,,,,0.9874757743491575
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.866637513699216,3.3574269723665155,,,,,,1.8480341518943877
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7017585983310233,1.9888232793692935,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4517236666616802,1.5696352587478564,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.2738404688759524,1.4916338297436793,,,,,,1.983993706378699
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.739455336908219,3.0015521908029594,,,,,,6.088240939737707
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.1117394574567283,1.2041737874884395,,,,,,1.2718564520437783
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.4240933797774855,1.336872033524621,,,,,,1.0957513150470686
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.6319435932309732,1.880699296106318,,,,,,1.8411901558986425
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.540646008082887,3.7709124893791106,,,,,,17.102926388046892
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.4362940265298123,2.8755755338102893,,,,,,2.248155573729376
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.8544216512358758,1.9843394730513841,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.6236036221298804,1.9205592582685638,,,,,,2.245819888503422
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.5376777934501192,0.6040372953513455,,,,,,0.953740498778739
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9170499681086193,2.2970328006936307,,,,,,1.6230193082530295
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.8076627441406398,0.9604078367261731,,,,,,0.869498758278417
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.775924974056292,0.8923371571314835,,,,,,1.1296408471472907
